Black	Red	Green	Yellow	Blue	Magenta	Cyan	White
#000000	#ec555d	#71c56e	#fdb536	#538DC0	#CC99CC	#22C3C0	#FFFFFF
#4c4b4c	#F2777A	#99CC99	#FFCC66	#6699CC	#CC99CC	#66CCCC	#FFFFFF
